------------------------------------------------------------------
Compound Eye Intelligence Design Lab.
By Gary S. Gaulin, 2011. 
------------------------------------------------------------------
 Lobes   : 2
 Data    : 9 bits, 2 bytes per data location
 Address : 18 total addressing bits, 262,144 data locations
         : 15 subsystem addressing bits, 32,768 data locations
 Date    : 10/21/11
 Time    : 11:46:36 PM
------------------------------|---------------
            ADDRESS           |    DATA
------------------------------|---------------
                              |     L      F  
                              |     /  M M /  
                              |     R  o o R  
                    C         | M M    t t    
       L            o         | o o C  o o C  
       e          T r G G     | t t o  r r o  
     L f          a r o o     | o o n      n  
     e t L    L   s e F R   G | r r f  F R f  
  S  f T e    e   t l o e G o |     i  o e i  
  y  t o f    f   e a r v o R |   R d  r v d  
L s  S w t    t   F t w e L i | L i e  w e e  
o t  e a E    A   o i a r e g | e g n  a r n  
b e  e r y    n   o o r s f h | f h c  r s c  
e m  s d e    t   d n d e t t | t t e  d e e  
----------------------------------------------
1 10 1 1 1111 100 0 0 0 0 0 1 - 0 1 11 1 0 11
0 00 0 0 0000 111 0 0 1 0 0 1 - 0 1 11 0 1 11
1 00 1 1 1111 100 0 0 0 1 0 1 - 0 1 11 0 0 11
0 01 0 0 0000 110 0 0 0 0 0 1 - 0 1 11 0 0 11
1 01 1 1 1111 100 0 0 0 0 0 1 - 0 1 11 1 0 10
0 10 0 0 0000 111 0 0 1 0 0 1 - 0 1 11 0 1 10
1 10 1 0 1111 100 0 0 0 1 0 1 - 0 1 11 0 0 00
0 00 0 0 0000 110 0 0 0 0 0 1 - 0 1 11 0 0 10
1 00 1 0 1111 100 0 0 0 0 0 1 - 0 1 11 0 1 00
0 01 0 0 0000 101 0 0 0 1 0 1 - 0 1 11 0 0 11
1 01 1 1 1110 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 10 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 1 0 10
1 10 1 0 1110 100 0 0 1 0 0 1 - 0 1 11 0 1 11
0 00 0 0 0000 101 0 0 0 1 0 1 - 0 1 11 0 0 11
1 00 1 1 1110 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 01 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 1 0 01
1 01 1 0 1101 100 0 0 1 0 0 1 - 0 1 11 0 1 11
0 10 0 0 0000 101 0 0 0 1 0 1 - 0 1 11 0 0 11
1 10 1 1 1101 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 00 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 1 0 00
1 00 1 0 1101 100 0 0 1 0 0 1 - 0 1 11 0 1 11
0 01 0 0 0000 101 0 0 0 1 0 1 - 0 1 11 0 0 11
1 01 1 1 1100 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 10 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 0 0 01
1 10 1 1 1100 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 00 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 0 0 10
1 00 1 1 1011 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 01 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 0 0 11
1 01 1 1 1011 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 10 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 0 0 11
1 10 1 1 1011 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 00 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 0 0 11
1 00 1 1 1010 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 01 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 0 0 11
1 01 1 1 1010 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 10 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 0 0 11
1 10 1 1 1001 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 00 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 0 0 11
1 00 1 1 1001 011 0 0 0 0 0 1 - 0 1 11 0 0 11
0 01 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 0 0 10
1 01 1 1 1000 011 0 1 0 0 0 1 - 0 1 11 0 1 00
0 10 0 0 0000 100 0 0 0 1 0 1 - 0 1 11 0 0 00
1 10 1 1 0111 010 0 1 0 0 0 1 - 0 1 11 1 0 00
0 00 0 1 0001 101 0 0 1 0 0 1 - 0 1 10 0 1 00
1 00 1 0 0111 010 0 1 0 1 0 1 - 0 1 01 0 0 00
0 01 1 1 0001 100 0 1 0 0 0 1 - 0 1 11 0 1 00
1 01 1 0 0110 001 0 1 0 1 0 1 - 0 1 11 1 1 00
0 10 1 1 0010 011 0 1 1 1 0 1 - 0 1 01 1 1 00
1 10 1 0 0101 001 0 1 1 1 0 1 - 0 1 10 1 1 00
0 00 1 0 0010 011 0 1 1 1 0 1 - 0 1 11 0 1 00
1 00 1 0 0100 000 0 1 0 1 0 1 - 0 1 11 0 0 00
0 01 1 0 0011 010 0 1 0 0 0 1 - 0 1 11 0 0 00
1 01 1 0 0100 000 0 1 0 0 0 1 - 0 1 10 0 1 00
0 10 1 0 0100 001 0 1 0 1 0 1 - 0 1 11 1 1 00
1 10 1 0 0011 000 0 1 1 1 0 1 - 0 1 01 1 1 00
0 00 1 0 0101 001 0 1 1 1 0 1 - 0 1 01 1 0 00
1 00 1 0 0011 000 0 0 1 0 0 1 - 0 0 00 0 0 00
0 01 1 0 0101 001 0 0 0 0 0 0 - 1 0 00 0 0 00
1 01 1 0 0011 010 0 0 0 0 1 0 - 0 1 00 1 0 00
0 10 1 0 0101 011 0 0 1 0 0 1 - 1 1 00 0 1 00
1 10 1 0 0011 001 0 0 0 1 1 1 - 1 0 00 0 1 00
0 00 1 0 0101 000 0 0 0 1 1 0 - 0 1 00 0 0 00
1 00 1 0 0011 000 0 0 0 0 0 1 - 0 1 00 1 0 00
0 01 1 0 0101 010 0 0 1 0 0 1 - 0 1 00 1 0 00
1 01 1 0 0011 001 0 0 1 0 0 1 - 1 0 01 0 1 00
0 10 1 0 0101 000 0 0 0 1 1 0 - 1 1 00 0 0 00
1 10 1 0 0011 001 0 0 0 0 1 1 - 0 1 00 1 0 00
0 00 1 0 0101 011 0 0 1 0 0 1 - 0 1 00 1 1 00
1 00 1 0 0010 001 0 0 1 1 0 1 - 1 0 01 1 0 00
0 01 1 0 0101 010 0 1 1 0 1 0 - 1 1 10 0 0 00
1 01 1 0 0011 011 0 1 0 0 1 1 - 1 1 11 1 0 11
0 10 1 1 0101 100 0 0 1 0 1 1 - 1 0 00 1 0 11
1 10 1 1 0011 110 0 0 1 0 1 0 - 1 1 00 1 0 11
0 00 1 1 0101 110 0 1 1 0 1 1 - 1 1 11 1 0 11
1 00 1 1 0011 111 0 1 1 0 1 1 - 1 1 11 1 0 11
0 01 1 1 0101 111 0 1 1 0 1 1 - 0 0 00 1 0 11
1 01 1 1 0010 111 0 0 1 0 0 0 - 0 1 00 1 0 10
0 10 1 1 0110 111 0 0 1 0 0 1 - 0 1 00 1 1 00
1 10 1 1 0001 110 0 0 1 1 0 1 - 0 1 00 1 1 00
0 00 1 1 0111 111 0 1 1 1 0 1 - 0 0 00 1 1 00
1 00 1 0 0001 111 0 0 1 1 0 0 - 0 1 00 0 0 00
0 01 1 1 1000 111 0 0 0 0 0 1 - 1 0 00 1 0 00
1 01 1 0 0001 111 0 0 1 0 1 0 - 0 1 01 0 0 01
0 10 1 1 1001 111 0 0 0 0 0 1 - 0 0 01 0 0 01
1 10 0 0 0000 111 0 0 0 0 0 0 - 0 0 01 1 0 01
0 00 1 1 1010 111 0 0 1 0 0 0 - 0 0 10 1 0 10
1 00 0 0 0000 111 0 0 1 0 0 0 - 1 0 01 1 1 01
0 01 1 1 1011 110 0 0 1 1 1 0 - 1 0 01 1 1 01
1 01 0 0 0000 111 0 0 1 1 1 0 - 1 0 11 1 0 01
0 10 1 0 1100 111 0 0 1 0 1 0 - 1 0 00 1 0 00
1 10 0 0 0000 111 0 0 1 0 1 0 - 1 0 11 0 0 00
0 00 1 0 1100 110 0 0 0 0 1 0 - 1 0 01 0 1 01
1 00 0 0 0000 111 0 0 0 1 1 0 - 1 0 11 0 1 00
0 01 1 0 1101 100 0 0 0 1 1 0 - 1 0 11 1 0 00
1 01 0 0 0000 111 0 0 1 0 1 0 - 1 0 11 0 0 00
0 10 1 0 1101 101 0 0 0 0 1 0 - 1 0 11 0 0 00
1 10 0 0 0000 111 0 0 0 0 1 0 - 1 0 11 0 0 00
0 00 1 0 1101 101 0 0 0 0 1 0 - 1 0 11 1 1 00
1 00 0 0 0000 111 0 0 1 1 1 0 - 1 0 11 1 0 00
0 01 1 0 1101 110 0 0 1 0 1 0 - 1 0 11 1 1 00
1 01 0 0 0000 111 0 0 1 1 1 0 - 1 0 10 1 1 00
0 10 1 0 1110 110 0 0 1 1 1 0 - 1 0 11 0 0 00
1 10 0 0 0000 111 0 0 0 0 1 0 - 1 0 11 0 0 00
0 00 1 0 1110 110 0 0 0 0 1 0 - 1 0 11 1 0 00
1 00 0 0 0000 111 0 0 1 0 1 0 - 1 0 11 1 1 00
0 01 1 0 1110 110 0 0 1 1 1 0 - 1 0 11 1 1 00
1 01 0 0 0000 111 0 0 1 1 1 0 - 1 0 11 1 0 00
0 10 1 0 1110 110 0 0 1 0 1 0 - 0 0 00 0 0 00
1 10 0 0 0000 111 0 0 0 0 0 0 - 0 0 00 1 0 00
0 00 1 0 1110 111 0 0 1 0 0 0 - 0 1 00 0 1 00
1 00 0 0 0000 101 0 0 0 1 0 1 - 0 1 11 0 0 10
0 01 1 0 1111 111 0 0 0 0 0 1 - 0 1 11 0 1 00
1 01 0 0 0000 100 0 0 0 1 0 1 - 0 1 11 1 0 00
0 10 1 0 1111 111 0 0 1 0 0 1 - 0 0 00 1 0 00
1 10 0 0 0000 111 0 0 1 0 0 0 - 1 0 10 1 1 10
0 00 1 1 1111 110 0 0 1 1 1 0 - 1 0 11 1 0 11
1 00 0 0 0000 111 0 0 1 0 1 0 - 1 0 11 0 1 01
0 01 1 1 1111 101 0 0 0 1 1 0 - 1 0 11 0 1 00
1 01 0 0 0000 110 0 0 0 1 1 0 - 1 0 11 0 1 00
0 10 1 0 1111 011 0 0 0 1 1 0 - 1 0 11 1 0 00
1 10 0 0 0000 110 0 0 1 0 1 0 - 1 0 11 1 1 00
0 00 1 0 1110 100 0 0 1 1 1 0 - 1 0 11 0 1 11
1 00 0 0 0000 101 0 0 0 1 1 0 - 1 0 11 0 0 10
0 01 1 1 1110 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1101 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1101 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1100 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1100 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1011 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1011 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1010 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1010 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1001 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1001 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1000 011 0 0 0 0 1 0 - 1 0 11 1 0 00
1 00 1 1 0001 110 0 1 1 0 1 0 - 1 0 11 0 1 00
0 01 1 1 1000 011 0 0 0 1 1 0 - 1 0 01 0 1 00
1 01 1 1 0001 100 0 1 0 1 1 0 - 1 0 11 0 1 00
0 10 1 0 0111 001 0 0 0 1 1 0 - 1 0 11 0 0 00
1 10 1 1 0001 011 0 1 0 0 1 0 - 1 0 11 0 1 00
0 00 1 0 0110 000 0 1 0 1 1 0 - 1 0 11 0 0 00
1 00 1 0 0010 010 0 1 0 0 1 0 - 0 0 11 1 0 00
0 01 1 0 0110 010 0 1 1 0 0 0 - 0 1 11 1 0 00
1 01 1 0 0010 010 0 1 1 0 0 1 - 0 1 10 1 0 00
0 10 1 1 0111 101 0 1 1 0 0 1 - 0 1 10 0 0 00
1 10 1 0 0001 011 0 0 0 0 0 1 - 0 1 01 1 1 00
0 00 1 1 0111 101 0 1 1 1 0 1 - 0 1 00 0 0 00
1 00 1 0 0001 011 0 0 0 0 0 1 - 0 1 00 1 1 00
0 01 1 1 1000 101 0 0 1 1 0 1 - 0 0 00 0 0 00
1 01 1 0 0001 100 0 0 0 0 0 0 - 1 1 00 0 0 00
0 10 1 1 1000 100 0 0 0 0 1 1 - 0 1 01 1 0 01
1 10 0 0 0000 100 0 0 1 0 0 1 - 0 1 11 1 1 01
0 00 1 1 1001 110 0 0 1 1 0 1 - 0 1 10 1 1 10
1 00 0 0 0000 100 0 0 1 1 0 1 - 0 1 11 1 0 00
0 01 1 0 1010 111 0 0 1 0 0 1 - 0 1 00 0 0 00
1 01 0 0 0000 101 0 0 0 0 0 1 - 0 1 11 0 0 01
0 10 1 0 1011 111 0 0 0 0 0 1 - 0 1 00 1 1 00
1 10 0 0 0000 101 0 0 1 1 0 1 - 0 1 11 1 1 00
0 00 1 0 1100 111 0 0 1 1 0 1 - 0 1 01 1 1 00
1 00 0 0 0000 101 0 0 1 1 0 1 - 0 1 10 0 1 00
0 01 1 0 1101 110 0 0 0 1 0 1 - 1 1 00 1 1 00
1 01 0 0 0000 101 0 0 1 1 1 1 - 1 1 00 0 0 00
0 10 1 0 1101 101 0 0 0 0 1 1 - 0 1 00 0 0 00
1 10 0 0 0000 100 0 0 0 0 0 1 - 0 1 10 0 0 00
0 00 1 0 1110 110 0 0 0 0 0 1 - 0 1 11 1 0 00
1 00 0 0 0000 101 0 0 1 0 0 1 - 0 1 11 1 0 00
0 01 1 0 1110 111 0 0 1 0 0 1 - 0 1 00 0 0 00
1 01 0 0 0000 110 0 0 0 0 0 1 - 0 1 11 0 0 01
0 10 1 0 1111 111 0 0 0 0 0 1 - 0 1 11 1 0 00
1 10 0 0 0000 110 0 0 1 0 0 1 - 0 1 11 1 0 00
0 00 1 0 1111 111 0 0 1 0 0 1 - 1 0 01 1 1 01
1 00 0 0 0000 111 0 0 1 1 1 0 - 1 0 11 0 0 01
0 01 1 1 1111 110 0 0 0 0 1 0 - 1 0 11 0 0 00
1 01 0 0 0000 111 0 0 0 0 1 0 - 1 0 11 0 0 00
0 10 0 0 1111 110 0 0 0 0 1 0 - 1 0 10 1 0 00
1 10 0 0 0000 111 0 0 1 0 1 0 - 1 0 11 0 1 00
0 00 1 0 1110 101 0 0 0 1 1 0 - 1 0 11 0 0 00
1 00 0 0 0000 111 0 0 0 0 1 0 - 1 0 11 0 1 00
0 01 1 0 1110 100 0 0 0 1 1 0 - 1 0 11 0 0 00
1 01 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 1 1 00
0 10 1 0 1110 100 0 0 1 1 1 0 - 1 0 11 0 1 11
1 10 0 0 0000 101 0 0 0 1 1 0 - 1 0 11 0 0 11
0 00 1 1 1101 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1101 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1100 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1100 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1011 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1011 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1010 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1010 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1001 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1000 011 0 0 0 0 1 0 - 1 0 11 1 0 00
1 00 1 1 0001 110 0 1 1 0 1 0 - 1 0 11 1 0 00
0 01 1 1 1000 101 0 0 1 0 1 0 - 1 0 10 0 0 00
1 01 1 1 0001 111 0 1 0 0 1 0 - 1 0 11 0 1 00
0 10 1 1 1000 100 0 0 0 1 1 0 - 1 0 10 1 0 00
1 10 1 1 0001 111 0 1 1 0 1 0 - 1 0 11 1 0 00
0 00 1 1 0111 110 0 1 1 0 1 0 - 1 0 01 1 0 00
1 00 1 1 0010 111 0 1 1 0 1 0 - 1 0 11 0 1 00
0 01 1 1 0111 101 0 1 0 1 1 0 - 1 0 01 0 1 00
1 01 1 1 0010 110 0 1 0 1 1 0 - 1 0 11 0 1 00
0 10 1 1 0110 011 0 1 0 1 1 0 - 1 0 10 1 0 00
1 10 1 1 0011 110 0 1 1 0 1 0 - 0 1 00 1 0 10
0 00 1 1 0110 111 0 1 1 0 0 1 - 1 0 01 0 0 00
1 00 1 1 0010 111 0 1 0 0 1 0 - 1 0 10 0 0 00
0 01 1 1 0110 101 0 1 0 0 1 0 - 0 1 01 1 0 00
1 01 1 1 0010 110 0 1 1 0 0 1 - 0 1 11 1 1 00
0 10 1 1 0110 111 0 0 1 1 0 1 - 0 1 00 1 0 00
1 10 1 1 0001 110 0 0 1 0 0 1 - 1 1 00 0 0 00
0 00 1 1 0111 111 0 1 0 0 1 1 - 1 1 00 1 0 00
1 00 1 1 0001 111 0 0 1 0 1 1 - 0 0 00 0 0 00
0 01 1 1 0111 111 0 1 0 0 0 0 - 0 0 00 1 1 00
1 01 1 0 0001 111 0 0 1 1 0 0 - 1 1 00 0 0 00
0 10 1 1 1000 111 0 0 0 0 1 1 - 0 0 00 1 1 00
1 10 1 0 0001 111 0 0 1 1 0 0 - 1 1 01 1 0 01
0 00 1 1 1000 111 0 0 1 0 1 1 - 1 1 01 1 0 01
1 00 0 0 0000 111 0 0 1 0 1 1 - 1 0 01 0 1 01
0 01 1 1 1000 101 0 0 0 1 1 0 - 1 0 10 0 0 00
1 01 1 1 0001 111 0 0 0 0 1 0 - 1 0 00 0 1 00
0 10 1 1 1000 100 0 0 0 1 1 0 - 1 0 11 1 1 00
1 10 1 1 0001 110 0 1 1 1 1 0 - 1 0 11 1 1 00
0 00 1 1 1000 100 0 0 1 1 1 0 - 1 0 11 1 1 00
1 00 1 1 0001 110 0 1 1 1 1 0 - 1 0 11 1 1 00
0 01 1 1 0111 100 0 0 1 1 1 0 - 0 0 01 0 0 00
1 01 1 0 0001 101 0 1 0 0 0 0 - 0 1 00 1 0 00
0 10 1 1 1000 111 0 1 1 0 0 1 - 1 1 01 0 0 01
1 10 0 0 0000 110 0 0 0 0 1 1 - 0 1 01 1 1 01
0 00 1 1 1001 111 0 1 1 1 0 1 - 0 1 01 1 1 01
1 00 0 0 0000 101 0 0 1 1 0 1 - 0 1 01 1 1 00
0 01 1 0 1011 111 0 0 1 1 0 1 - 1 0 10 0 1 10
1 01 0 0 0000 110 0 0 0 1 1 0 - 1 0 11 0 0 01
0 10 1 1 1010 100 0 0 0 0 1 0 - 1 0 10 0 0 10
1 10 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 01
0 00 1 1 1010 100 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 10
0 01 1 1 1010 100 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1010 100 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1010 100 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1010 100 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1010 100 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1010 100 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1010 100 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1011 110 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 10
0 00 1 0 1011 100 0 0 0 0 1 0 - 1 0 01 0 0 00
1 00 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1100 100 0 0 0 0 1 0 - 1 0 11 0 0 01
1 01 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 10
0 10 1 0 1100 100 0 0 0 0 1 0 - 1 0 01 1 0 01
1 10 0 0 0000 111 0 0 1 0 1 0 - 1 0 10 1 1 00
0 00 1 0 1110 101 0 0 1 1 1 0 - 1 0 11 0 0 00
1 00 0 0 0000 111 0 0 0 0 1 0 - 1 0 10 1 0 00
0 01 1 0 1111 110 0 0 1 0 1 0 - 1 0 11 0 0 00
1 01 0 0 0000 111 0 0 0 0 1 0 - 1 0 11 0 1 00
0 10 1 0 1111 101 0 0 0 1 1 0 - 1 0 11 1 0 00
1 10 0 0 0000 111 0 0 1 0 1 0 - 1 0 11 1 0 00
0 00 1 0 1111 110 0 0 1 0 1 0 - 1 0 11 1 0 00
1 00 0 0 0000 111 0 0 1 0 1 0 - 1 0 11 0 0 00
0 01 1 0 1111 110 0 0 0 0 1 0 - 1 0 11 0 1 10
1 01 0 0 0000 111 0 0 0 1 1 0 - 1 0 11 0 0 01
0 10 1 0 1111 101 0 0 0 0 1 0 - 1 0 11 0 0 00
1 10 0 0 0000 111 0 0 0 0 1 0 - 1 0 11 1 1 00
0 00 1 0 1111 101 0 0 1 1 1 0 - 1 0 11 0 1 00
1 00 0 0 0000 110 0 0 0 1 1 0 - 1 0 11 0 0 00
0 01 1 0 1111 100 0 0 0 0 1 0 - 1 0 11 0 1 00
1 01 0 0 0000 101 0 0 0 1 1 0 - 1 0 11 0 0 11
0 10 1 1 1110 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1110 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1101 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1101 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1101 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1100 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1100 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1011 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1011 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1011 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1010 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 01 1 1 1010 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 10 1 1 1001 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 11
0 00 1 1 1001 011 0 0 0 0 1 0 - 1 0 11 0 0 11
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 10
0 01 1 1 1000 011 0 0 0 0 1 0 - 1 0 11 1 1 00
1 01 1 1 0001 101 0 1 1 1 1 0 - 1 0 11 1 0 00
0 10 1 1 1000 100 0 0 1 0 1 0 - 1 0 11 1 0 01
1 10 0 0 0000 111 0 0 1 0 1 0 - 1 0 11 1 1 01
0 00 1 1 1000 101 0 1 1 1 1 0 - 1 0 01 1 1 00
1 00 1 0 0001 111 0 1 1 1 1 0 - 1 0 01 1 0 00
0 01 1 1 1000 110 0 1 1 0 1 0 - 1 0 01 0 1 00
1 01 1 0 0001 111 0 1 0 1 1 0 - 1 0 10 1 1 01
0 10 1 1 1000 101 0 0 1 1 1 0 - 1 0 00 0 0 00
1 10 0 0 0000 111 0 0 0 0 1 0 - 1 0 11 0 1 01
0 00 1 1 1000 100 0 1 0 1 1 0 - 1 0 01 0 1 00
1 00 0 0 0000 101 0 0 0 1 1 0 - 1 0 11 0 0 10
0 01 1 0 0111 011 0 0 0 0 1 0 - 1 0 10 1 1 00
1 01 0 0 0000 101 0 0 1 1 1 0 - 1 0 11 1 0 00
0 10 1 0 0000 100 0 0 1 0 1 0 - 1 0 01 0 0 00
1 10 0 0 0000 110 0 0 0 0 1 0 - 1 0 11 0 0 01
0 00 1 0 0000 100 0 0 0 0 1 0 - 1 0 10 0 1 00
1 00 0 0 0000 101 0 0 0 1 1 0 - 1 0 11 0 0 01
0 01 0 0 0000 011 0 0 0 0 1 0 - 1 0 11 0 0 10
1 01 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 01
0 10 0 0 0000 011 0 0 0 0 1 0 - 1 0 11 0 0 01
1 10 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 0 0 00
0 00 0 0 0000 011 0 0 0 0 1 0 - 1 0 11 0 0 00
1 00 0 0 0000 101 0 0 0 0 1 0 - 1 0 11 1 1 00
0 01 0 0 0000 011 0 0 1 1 1 0 - 1 0 11 0 0 00
